[[ 1.65675138e+00  1.04948187e-01]
 [ 1.04340664e+00 -8.03613207e-01]
 [ 3.32975888e+00  2.70582517e-01]
 [ 3.46540198e+00  2.42796077e-01]
 [ 5.09636258e+00  7.14719724e-01]
 [ 6.17796887e+00  2.40186652e+00]
 [ 6.46512113e+00  6.78720329e-01]
 [ 9.22597602e+00  6.16120382e-01]
 [ 8.73178693e+00  1.21675692e+00]
 [ 1.04295135e+01  2.64727023e-01]
 [ 1.08479145e+01  6.48364453e-01]
 [ 1.27861035e+01  2.25565332e+00]
 [ 1.33666467e+01  1.44472730e+00]
 [ 1.32670676e+01  1.40899418e+00]
 [ 1.56292281e+01  2.59784641e+00]
 [ 1.43972646e+01  3.52892412e+00]
 [ 1.61782945e+01  5.50000153e+00]
 [ 1.72279170e+01  5.79448559e+00]
 [ 1.67738246e+01  4.58925503e+00]
 [ 1.78965750e+01  5.59895200e+00]
 [ 1.99576281e+01  6.40904357e+00]
 [ 1.93373902e+01  5.06221109e+00]
 [ 2.12985418e+01  7.40705331e+00]
 [ 2.11447677e+01  6.78257643e+00]
 [ 2.29460026e+01  7.33222946e+00]
 [ 2.35907149e+01  1.02653128e+01]
 [ 2.38527926e+01  1.11925295e+01]
 [ 2.48308974e+01  1.20914844e+01]
 [ 2.50328430e+01  1.37519524e+01]
 [ 2.49602050e+01  1.26177878e+01]
 [ 2.60194144e+01  1.29780208e+01]
 [ 2.61506726e+01  1.29622346e+01]
 [ 2.71699298e+01  1.33125132e+01]
 [ 2.73155709e+01  1.71428285e+01]
 [ 2.97607030e+01  1.76497498e+01]
 [ 2.96916657e+01  1.86884647e+01]
 [ 3.09549380e+01  1.59970051e+01]
 [ 3.08214757e+01  1.96254823e+01]
 [ 2.92117310e+01  1.97058296e+01]
 [ 3.15675222e+01  2.25455597e+01]
 [ 3.09357131e+01  2.20334136e+01]
 [ 3.09327338e+01  2.49463446e+01]
 [ 3.11274384e+01  2.45323236e+01]
 [ 3.28852535e+01  2.43160575e+01]
 [ 3.27513576e+01  2.48368764e+01]
 [ 3.22748680e+01  2.62016156e+01]
 [ 3.22873464e+01  2.66460814e+01]
 [ 3.18769508e+01  2.87018925e+01]
 [ 3.23274447e+01  3.14752979e+01]
 [ 3.15429138e+01  3.06687718e+01]
 [ 3.20386416e+01  3.15688870e+01]
 [ 3.12025495e+01  3.16982969e+01]
 [ 3.23349406e+01  3.42816498e+01]
 [ 3.26184761e+01  3.41715961e+01]
 [ 3.21508249e+01  3.68030095e+01]
 [ 3.16396028e+01  3.85900268e+01]
 [ 3.11703325e+01  3.87908864e+01]
