[[ 2.05198923e+00 -1.18850629e+00]
 [ 3.36358628e+00  3.89313998e-01]
 [ 4.41012073e+00  3.57811200e-01]
 [ 4.58358726e+00  5.33598499e-01]
 [ 7.20331944e+00  5.06055971e-01]
 [ 7.80982720e+00 -6.91644571e-01]
 [ 9.28602002e+00  2.22415492e+00]
 [ 1.00975258e+01  6.13278115e-01]
 [ 1.24258658e+01  3.89386878e+00]
 [ 1.15644340e+01  2.07553814e+00]
 [ 1.36909279e+01  2.29643202e+00]
 [ 1.69408021e+01  2.11618328e+00]
 [ 1.70186528e+01  2.84365837e+00]
 [ 1.66273666e+01  3.94817872e+00]
 [ 2.07620169e+01  4.09483326e+00]
 [ 2.04547670e+01  5.42296571e+00]
 [ 2.17978066e+01  5.65913900e+00]
 [ 2.39842462e+01  5.96673162e+00]
 [ 2.43168067e+01  7.66181344e+00]
 [ 2.44510899e+01  6.37231109e+00]
 [ 2.66269695e+01  8.98896494e+00]
 [ 2.71631698e+01  9.41868710e+00]
 [ 2.62192162e+01  1.06961668e+01]
 [ 2.89663151e+01  1.08338852e+01]
 [ 2.99878813e+01  1.03353793e+01]
 [ 3.36360143e+01  1.46272610e+01]
 [ 3.09106410e+01  1.42133985e+01]
 [ 3.45105369e+01  1.57701465e+01]
 [ 3.45676945e+01  1.77053557e+01]
 [ 3.54698568e+01  1.67906117e+01]
 [ 3.71165953e+01  1.86831927e+01]
 [ 3.73893920e+01  2.02355586e+01]
 [ 3.81218233e+01  2.02200600e+01]
 [ 3.86851631e+01  2.13814497e+01]
 [ 3.78421121e+01  2.33549781e+01]
 [ 3.83631613e+01  2.39693488e+01]
 [ 3.94081855e+01  2.46297015e+01]
 [ 4.01967256e+01  2.60226851e+01]
 [ 4.06669225e+01  2.65043765e+01]
 [ 4.14908186e+01  2.64351141e+01]
 [ 4.41053966e+01  2.94494587e+01]
 [ 4.24045084e+01  3.03472159e+01]
 [ 4.00711179e+01  3.17133911e+01]
 [ 4.17917046e+01  3.47678562e+01]
 [ 4.32708224e+01  3.63710867e+01]
 [ 4.37516736e+01  3.73554435e+01]
 [ 4.35809023e+01  3.65591300e+01]
 [ 4.25506315e+01  3.99093192e+01]
 [ 4.25273302e+01  4.09195650e+01]
 [ 4.52849393e+01  4.08303547e+01]
 [ 4.53412564e+01  4.21189986e+01]
 [ 4.36591975e+01  4.52004767e+01]
 [ 4.32518675e+01  4.80425683e+01]
 [ 4.21986378e+01  4.59899625e+01]
 [ 4.51533901e+01  4.85908242e+01]
 [ 4.23447392e+01  4.90727691e+01]
 [ 4.26601731e+01  5.19778965e+01]
 [ 4.26720439e+01  5.30449653e+01]
 [ 4.20088898e+01  5.56421750e+01]
 [ 4.24898072e+01  5.53275017e+01]
 [ 4.06762123e+01  5.44127277e+01]
 [ 3.79289552e+01  5.67228197e+01]
 [ 4.09417045e+01  5.83770460e+01]
 [ 3.79332023e+01  6.03081793e+01]
 [ 3.75383672e+01  6.10209522e+01]
 [ 3.92329803e+01  6.15812824e+01]
 [ 3.80506129e+01  6.28830751e+01]
 [ 3.73799533e+01  6.38101390e+01]
 [ 3.64780992e+01  6.60183855e+01]
 [ 3.53045984e+01  6.72253000e+01]
 [ 3.52906146e+01  6.74362612e+01]
 [ 3.22727538e+01  6.94953632e+01]
 [ 3.24008139e+01  6.88681437e+01]
 [ 3.10268294e+01  6.95542275e+01]
 [ 3.29351504e+01  7.26349472e+01]
 [ 3.06140950e+01  7.32425481e+01]
 [ 3.02576821e+01  7.41701146e+01]
 [ 2.70008307e+01  7.47021248e+01]
 [ 2.69954256e+01  7.55383529e+01]
 [ 2.61452323e+01  7.69525056e+01]
 [ 2.62524529e+01  7.67857326e+01]
 [ 2.34670802e+01  7.79918039e+01]
 [ 2.26203365e+01  7.68648892e+01]
 [ 2.17623844e+01  8.00056481e+01]
 [ 2.08956812e+01  7.96227534e+01]
 [ 2.02434799e+01  7.84013004e+01]
 [ 1.74615596e+01  8.12324054e+01]
 [ 1.56347297e+01  8.07978018e+01]
 [ 1.63545567e+01  8.13976891e+01]
 [ 1.38088369e+01  8.17088395e+01]
 [ 1.13400637e+01  8.15148981e+01]
 [ 1.16396387e+01  8.19958407e+01]
 [ 8.73570657e+00  8.32844050e+01]
 [ 8.95518288e+00  8.41631031e+01]
 [ 7.58241874e+00  8.35921562e+01]
 [ 7.18450760e+00  8.40844826e+01]
 [ 5.87037749e+00  8.37836051e+01]
 [ 2.96220596e+00  8.38549382e+01]
 [ 2.50189170e+00  8.30181588e+01]
 [ 9.01120793e-01  8.54303063e+01]
 [-1.75555619e+00  8.59788007e+01]
 [-3.86168858e+00  8.41944218e+01]
 [-5.04147993e+00  8.53066904e+01]
 [-2.71223532e+00  8.47567744e+01]
 [-7.24591843e+00  8.22391425e+01]
 [-8.38302180e+00  8.39243038e+01]
 [-7.92143746e+00  8.30929668e+01]
 [-9.49323610e+00  8.33907912e+01]
 [-1.14733257e+01  8.34467308e+01]
 [-1.29357343e+01  8.40424762e+01]
 [-1.37812434e+01  7.88056540e+01]
 [-1.48069940e+01  7.98519914e+01]
 [-1.67741435e+01  8.32406298e+01]
 [-1.88046457e+01  8.11715605e+01]
 [-1.88523640e+01  8.10430812e+01]
 [-2.13089716e+01  7.85242026e+01]
 [-2.05054134e+01  7.80535677e+01]
 [-2.08402282e+01  7.66607772e+01]
 [-2.51946849e+01  7.67841762e+01]
 [-2.47265517e+01  7.70742879e+01]
 [-2.63710608e+01  7.64549271e+01]
 [-2.53350517e+01  7.65416346e+01]
 [-2.95882470e+01  7.31151018e+01]
 [-2.92917701e+01  7.25756357e+01]
 [-2.97932971e+01  7.16224418e+01]
 [-3.04069633e+01  7.12594759e+01]
 [-3.21871339e+01  7.02911868e+01]
 [-3.21054867e+01  6.91689450e+01]
 [-3.30159938e+01  6.87634263e+01]
 [-3.40349080e+01  6.67988737e+01]
 [-3.53459563e+01  6.76115386e+01]
 [-3.56886919e+01  6.46679152e+01]
 [-3.48649600e+01  6.40510265e+01]
 [-3.94158018e+01  6.22198154e+01]
 [-3.84862563e+01  6.28796610e+01]
 [-3.98821323e+01  6.14956495e+01]
 [-3.90519370e+01  5.89414575e+01]
 [-3.98920632e+01  5.62800880e+01]
 [-4.19144218e+01  5.64109928e+01]
 [-4.09558491e+01  5.44140252e+01]
 [-4.16191031e+01  5.56600409e+01]
 [-4.08939860e+01  5.40832470e+01]
 [-3.99758322e+01  5.08713488e+01]
 [-4.10011140e+01  5.15225922e+01]
 [-4.20180238e+01  4.74821316e+01]
 [-4.18115462e+01  4.79439126e+01]
 [-4.24123690e+01  4.54863697e+01]
 [-4.24716211e+01  4.56513580e+01]
 [-4.30707422e+01  4.42180424e+01]
 [-4.20696499e+01  4.30279415e+01]
 [-4.32676469e+01  4.09076897e+01]
 [-4.12596648e+01  4.01059389e+01]
 [-4.10286876e+01  3.82356516e+01]
 [-4.20095925e+01  3.64123311e+01]
 [-4.51670529e+01  3.62034287e+01]
 [-4.08791414e+01  3.30437716e+01]
 [-4.02600483e+01  3.34931378e+01]
 [-4.30791807e+01  3.17005796e+01]
 [-4.17870942e+01  3.01871082e+01]
 [-4.13748635e+01  2.95223612e+01]
 [-4.09576520e+01  2.87035993e+01]
 [-3.95354630e+01  2.57631477e+01]
 [-3.90972553e+01  2.49239964e+01]
 [-3.97265846e+01  2.44636861e+01]
 [-3.84198423e+01  2.28027030e+01]
 [-3.70044581e+01  2.13569012e+01]
 [-3.70860999e+01  2.16034060e+01]
 [-3.89634013e+01  1.81989043e+01]
 [-3.39018857e+01  1.72684403e+01]
 [-3.50084248e+01  1.81556156e+01]
 [-3.34245337e+01  1.78446404e+01]
 [-3.25027443e+01  1.62244414e+01]
 [-3.14088462e+01  1.37916006e+01]
 [-3.24849410e+01  1.52539493e+01]
 [-2.95946927e+01  1.23884521e+01]
 [-2.84032450e+01  1.04533040e+01]
 [-2.72786791e+01  1.15110894e+01]
 [-2.78016778e+01  1.03071431e+01]
 [-2.67282337e+01  8.44803675e+00]
 [-2.63342291e+01  8.17030311e+00]
 [-2.47953228e+01  8.24353564e+00]
 [-2.29142579e+01  6.59508227e+00]
 [-2.27903341e+01  8.50221620e+00]
 [-2.11402975e+01  7.12170277e+00]
 [-2.02972135e+01  4.90481995e+00]
 [-1.93893060e+01  3.15565600e+00]
 [-1.75987639e+01  5.12497500e+00]
 [-1.56973492e+01  4.26328598e+00]
 [-1.43274386e+01  3.28930819e+00]
 [-1.56279784e+01  3.39815507e+00]
 [-1.13245518e+01  3.51510702e+00]
 [-1.02910713e+01  3.42226704e+00]
 [-1.16059033e+01  1.08271076e+00]
 [-7.26184360e+00  5.08680884e-01]
 [-7.79426289e+00  7.11972146e-01]
 [-5.05848697e+00  6.37188975e-01]
 [-2.76584993e+00 -2.35056701e-02]
 [-3.71340399e+00 -2.48959405e+00]
 [-2.16769145e+00  4.50164104e-02]
 [-7.47897265e-01 -1.11957944e+00]]
