[[ 1.44977795e+00  7.53858218e-03]
 [ 2.80294366e+00  5.66073125e-02]
 [ 4.15170769e+00  1.47208777e-01]
 [ 5.49666442e+00  2.79254325e-01]
 [ 6.83651571e+00  4.52613652e-01]
 [ 8.16993968e+00  6.67115676e-01]
 [ 9.49562039e+00  9.22548707e-01]
 [ 1.08122496e+01  1.21866066e+00]
 [ 1.21185279e+01  1.55515932e+00]
 [ 1.34131661e+01  1.93171259e+00]
 [ 1.46948867e+01  2.34794887e+00]
 [ 1.59624247e+01  2.80345738e+00]
 [ 1.72145292e+01  3.29778858e+00]
 [ 1.84499645e+01  3.83045463e+00]
 [ 1.96675115e+01  4.40092986e+00]
 [ 2.08659684e+01  5.00865127e+00]
 [ 2.20441527e+01  5.65301912e+00]
 [ 2.32009016e+01  6.33339749e+00]
 [ 2.43350735e+01  7.04911493e+00]
 [ 2.54455490e+01  7.79946512e+00]
 [ 2.65312324e+01  8.58370754e+00]
 [ 2.75910522e+01  9.40106826e+00]
 [ 2.86239624e+01  1.02507406e+01]
 [ 2.96289437e+01  1.11318861e+01]
 [ 3.06050043e+01  1.20436352e+01]
 [ 3.15511810e+01  1.29850880e+01]
 [ 3.24665400e+01  1.39553154e+01]
 [ 3.33501779e+01  1.49533600e+01]
 [ 3.42012227e+01  1.59782368e+01]
 [ 3.50188345e+01  1.70289344e+01]
 [ 3.58022064e+01  1.81044159e+01]
 [ 3.65505654e+01  1.92036199e+01]
 [ 3.72631729e+01  2.03254615e+01]
 [ 3.79393256e+01  2.14688338e+01]
 [ 3.85783563e+01  2.26326083e+01]
 [ 3.91796343e+01  2.38156365e+01]
 [ 3.97425663e+01  2.50167510e+01]
 [ 4.02665966e+01  2.62347662e+01]
 [ 4.07512081e+01  2.74684804e+01]
 [ 4.11959226e+01  2.87166758e+01]
 [ 4.16003012e+01  2.99781206e+01]
 [ 4.19639448e+01  3.12515701e+01]
 [ 4.22864946e+01  3.25357674e+01]
 [ 4.25676322e+01  3.38294452e+01]
 [ 4.28070802e+01  3.51313268e+01]
 [ 4.30046022e+01  3.64401274e+01]
 [ 4.31600034e+01  3.77545554e+01]
 [ 4.32731304e+01  3.90733135e+01]
 [ 4.33438715e+01  4.03951004e+01]
 [ 4.33721570e+01  4.17186116e+01]
 [ 4.33579588e+01  4.30425408e+01]
 [ 4.33012911e+01  4.43655817e+01]
 [ 4.32022097e+01  4.56864285e+01]
 [ 4.30608125e+01  4.70037776e+01]
 [ 4.28772389e+01  4.83163291e+01]
 [ 4.26516702e+01  4.96227876e+01]
 [ 4.23843289e+01  5.09218637e+01]
 [ 4.20754789e+01  5.22122754e+01]
 [ 4.17254250e+01  5.34927494e+01]
 [ 4.13345126e+01  5.47620218e+01]
 [ 4.09031275e+01  5.60188400e+01]
 [ 4.04316955e+01  5.72619638e+01]
 [ 3.99206817e+01  5.84901664e+01]
 [ 3.93705906e+01  5.97022356e+01]
 [ 3.87819649e+01  6.08969752e+01]
 [ 3.81553857e+01  6.20732063e+01]
 [ 3.74914711e+01  6.32297679e+01]
 [ 3.67908765e+01  6.43655188e+01]
 [ 3.60542933e+01  6.54793381e+01]
 [ 3.52824483e+01  6.65701265e+01]
 [ 3.44761032e+01  6.76368076e+01]
 [ 3.36360539e+01  6.86783288e+01]
 [ 3.27631294e+01  6.96936620e+01]
 [ 3.18581912e+01  7.06818055e+01]
 [ 3.09221322e+01  7.16417838e+01]
 [ 2.99558763e+01  7.25726498e+01]
 [ 2.89603771e+01  7.34734847e+01]
 [ 2.79366170e+01  7.43433995e+01]
 [ 2.68856063e+01  7.51815357e+01]
 [ 2.58083822e+01  7.59870662e+01]
 [ 2.47060079e+01  7.67591960e+01]
 [ 2.35795713e+01  7.74971631e+01]
 [ 2.24301839e+01  7.82002392e+01]
 [ 2.12589802e+01  7.88677306e+01]
 [ 2.00671159e+01  7.94989783e+01]
 [ 1.88557673e+01  8.00933595e+01]
 [ 1.76261298e+01  8.06502877e+01]
 [ 1.63794169e+01  8.11692131e+01]
 [ 1.51168590e+01  8.16496236e+01]
 [ 1.38397021e+01  8.20910452e+01]
 [ 1.25492066e+01  8.24930422e+01]
 [ 1.12466461e+01  8.28552180e+01]
 [ 9.93330590e+00  8.31772150e+01]
 [ 8.61048227e+00  8.34587154e+01]
 [ 7.27948062e+00  8.36994416e+01]
 [ 5.94161450e+00  8.38991560e+01]
 [ 4.59820421e+00  8.40576613e+01]
 [ 3.25057555e+00  8.41748013e+01]
 [ 1.90005846e+00  8.42504602e+01]
 [ 5.47985734e-01  8.42845635e+01]
 [-8.04308293e-01  8.42770775e+01]
 [-2.15548907e+00  8.42280096e+01]
 [-3.50422314e+00  8.41374081e+01]
 [-4.84917948e+00  8.40053626e+01]
 [-6.18903076e+00  8.38320032e+01]
 [-7.52245473e+00  8.36175012e+01]
 [-8.84813544e+00  8.33620682e+01]
 [-1.01647646e+01  8.30659562e+01]
 [-1.14710429e+01  8.27294576e+01]
 [-1.27656812e+01  8.23529043e+01]
 [-1.40474017e+01  8.19366680e+01]
 [-1.53149397e+01  8.14811595e+01]
 [-1.65670442e+01  8.09868283e+01]
 [-1.78024796e+01  8.04541623e+01]
 [-1.90200265e+01  7.98836870e+01]
 [-2.02184835e+01  7.92759656e+01]
 [-2.13966678e+01  7.86315978e+01]
 [-2.25534166e+01  7.79512194e+01]
 [-2.36875885e+01  7.72355020e+01]
 [-2.47980641e+01  7.64851518e+01]
 [-2.58837475e+01  7.57009093e+01]
 [-2.69435672e+01  7.48835486e+01]
 [-2.79764775e+01  7.40338763e+01]
 [-2.89814588e+01  7.31527308e+01]
 [-2.99575194e+01  7.22409817e+01]
 [-3.09036961e+01  7.12995289e+01]
 [-3.18190550e+01  7.03293015e+01]
 [-3.27026929e+01  6.93312569e+01]
 [-3.35537377e+01  6.83063801e+01]
 [-3.43713495e+01  6.72556825e+01]
 [-3.51547215e+01  6.61802010e+01]
 [-3.59030805e+01  6.50809970e+01]
 [-3.66156880e+01  6.39591553e+01]
 [-3.72918407e+01  6.28157831e+01]
 [-3.79308714e+01  6.16520086e+01]
 [-3.85321494e+01  6.04689804e+01]
 [-3.90950813e+01  5.92678659e+01]
 [-3.96191116e+01  5.80498506e+01]
 [-4.01037231e+01  5.68161365e+01]
 [-4.05484377e+01  5.55679411e+01]
 [-4.09528163e+01  5.43064962e+01]
 [-4.13164599e+01  5.30330468e+01]
 [-4.16390096e+01  5.17488495e+01]
 [-4.19201472e+01  5.04551716e+01]
 [-4.21595952e+01  4.91532900e+01]
 [-4.23571173e+01  4.78444894e+01]
 [-4.25125185e+01  4.65300615e+01]
 [-4.26256454e+01  4.52113033e+01]
 [-4.26963866e+01  4.38895165e+01]
 [-4.27246720e+01  4.25660053e+01]
 [-4.27104739e+01  4.12420760e+01]
 [-4.26538061e+01  3.99190352e+01]
 [-4.25547248e+01  3.85981884e+01]
 [-4.24133275e+01  3.72808392e+01]
 [-4.22297540e+01  3.59682878e+01]
 [-4.20041852e+01  3.46618293e+01]
 [-4.17368439e+01  3.33627532e+01]
 [-4.14279939e+01  3.20723414e+01]
 [-4.10779400e+01  3.07918675e+01]
 [-4.06870276e+01  2.95225951e+01]
 [-4.02556425e+01  2.82657768e+01]
 [-3.97842105e+01  2.70226530e+01]
 [-3.92731968e+01  2.57944505e+01]
 [-3.87231056e+01  2.45823813e+01]
 [-3.81344800e+01  2.33876417e+01]
 [-3.75079007e+01  2.22114106e+01]
 [-3.68439862e+01  2.10548490e+01]
 [-3.61433916e+01  1.99190981e+01]
 [-3.54068083e+01  1.88052788e+01]
 [-3.46349633e+01  1.77144904e+01]
 [-3.38286183e+01  1.66478093e+01]
 [-3.29885690e+01  1.56062881e+01]
 [-3.21156445e+01  1.45909548e+01]
 [-3.12107062e+01  1.36028114e+01]
 [-3.02746473e+01  1.26428330e+01]
 [-2.93083914e+01  1.17119671e+01]
 [-2.83128922e+01  1.08111322e+01]
 [-2.72891320e+01  9.94121738e+00]
 [-2.62381213e+01  9.10308116e+00]
 [-2.51608973e+01  8.29755068e+00]
 [-2.40585230e+01  7.52542088e+00]
 [-2.29320863e+01  6.78745377e+00]
 [-2.17826990e+01  6.08437764e+00]
 [-2.06114952e+01  5.41688633e+00]
 [-1.94196309e+01  4.78563858e+00]
 [-1.82082823e+01  4.19125735e+00]
 [-1.69786448e+01  3.63432922e+00]
 [-1.57319320e+01  3.11540383e+00]
 [-1.44693741e+01  2.63499327e+00]
 [-1.31922172e+01  2.19357167e+00]
 [-1.19017217e+01  1.79157465e+00]
 [-1.05991611e+01  1.42939892e+00]
 [-9.28582095e+00  1.10740193e+00]
 [-7.96299731e+00  8.25901434e-01]
 [-6.63199567e+00  5.85175243e-01]
 [-5.29412954e+00  3.85460926e-01]
 [-3.95071926e+00  2.26955575e-01]
 [-2.60309060e+00  1.09815618e-01]
 [-1.25257351e+00  3.41566562e-02]
 [ 9.94992168e-02  5.33565075e-05]]
